item,date,price
ENPH:NASDAQ,2026-01-13,"49,590.20"
FSLR:NASDAQ,2026-01-13,"49,590.20"
TSLA:NASDAQ,2026-01-13,"49,590.20"
JKS:NYSE,2026-01-13,"49,590.20"
